year;GDP
2000;104337372362.15
2001;103311640571.82
2002;109816201497.62
2003;124346358066.71
2004;147824370319.95
2005;180617467964.60
2006;222116541865.21
2007;257916133424.10
2008;315474615738.60
2009;253547358747.45
2010;300189052694.03
2011;360832739558.39
2012;384610125384.03
2013;400218529747.60
2014;414105366758.91
2015;370275469560.17
2016;369255326235.77
2017;390516804016.50
2018;427049432149.35
2019;417989721734.49
2020;349473015336.94
2021;415178792769.88
2022;507063968273.31
2023;504170000000.00
2024;527800000000.00