date,price
"01.04.2024",148.17
"01.03.2024",147.3
"01.02.2024",147.04
"01.01.2024",145.96
"01.12.2023",145.31
"01.11.2023",143.98
"01.10.2023",141.98
"01.09.2023",142.83
"01.08.2023",145.39
"01.07.2023",147.14
"01.06.2023",146.97
"01.05.2023",146.04
"01.04.2023",144.39
"01.03.2023",143.24
"01.02.2023",142.01
"01.01.2023",141.64
"01.12.2022",140.83
"01.11.2022",139.31
"01.10.2022",138.7
"01.09.2022",133.2
"01.08.2022",136.81
"01.07.2022",135.87
"01.06.2022",132.54
"01.05.2022",127.12
"01.04.2022",124.55
"01.03.2022",116.72
"01.02.2022",117.72
"01.01.2022",126.46
"01.12.2021",128.59
"01.11.2021",126.22
"01.10.2021",127.31
"01.09.2021",128.6
"01.08.2021",128.75
"01.07.2021",128.06
"01.06.2021",127.7
"01.05.2021",127.98
"01.04.2021",127.66
"01.03.2021",127.49
"01.02.2021",127.92
"01.01.2021",128.35